DATE,STATION,DailyAltimeterSetting,DailyDewPointTemperature,DailyDryBulbTemperature,DailyPrecipitation,DailyPresentWeatherType,DailyPressureChange,DailyPressureTendency,DailyRelativeHumidity,DailySeaLevelPressure,DailySkyConditions,DailyStationPressure,DailyVisibility,DailyWetBulbTemperature,DailyWindDirection,DailyWindGustSpeed,DailyWindSpeed
2023-01-01,72793894274,30.08458333333333,40.0,43,0,FG:2 |FG |,0.00375,4.5,89.0,30.08875,CLR:00,29.74458333333333,10.0,42.0,0,19.75,0.5675675675675675
2023-01-22,72793894274,30.45,36.0,41,0,BR:1 ||,-0.0287499999999999,3.5,89.0,30.447916666666668,CLR:00,30.108600000000006,10.0,39.0,0,18.0,1.08
2023-01-23,72793894274,30.502777777777776,36.0,39,0,BR:1 ||,-0.00625,3.625,89.0,30.515,CLR:00,30.158611111111117,10.0,38.0,0,18.0,1.0277777777777777
2023-01-24,72793894274,30.577567567567577,41.0,43,0,BR:1 ||,-0.01125,2.625,89.0,30.58708333333333,OVC:08 9,30.23297297297297,10.0,39.0,190,18.0,4.54054054054054
2023-01-25,72793894274,30.701176470588237,40.0,43,0,BR:1 ||,-0.00625,4.0,93.0,30.70291666666667,OVC:08 4,30.353529411764704,10.0,42.0,0,18.0,3.764705882352941
2023-01-26,72793894274,30.549767441860464,39.0,43,0,BR:1 ||,0.03625,6.0,89.0,30.581666666666667,OVC:08 2,30.20558139534884,10.0,41.0,0,18.0,4.255813953488372
2023-01-27,72793894274,30.22142857142857,43.0,46,0,-RA:02 BR:1 |RA |RA,0.025,5.625,89.0,30.219583333333336,OVC:08 35,29.881428571428565,10.0,44.0,0,24.33333333333333,5.261904761904762
2023-01-28,72793894274,30.134888888888888,40.0,43,0,-RA:02 BR:1 |RA |RA,-0.01125,5.125,89.0,30.15166666666667,BKN:07 15 BKN:07 22 OVC:08 30,29.794888888888888,10.0,42.0,0,22.0,4.888888888888889
2023-01-29,72793894274,30.440416666666664,20.0,37,0,BR:1 ||,-0.02625,3.5,52.0,30.45125,CLR:00,30.097916666666663,10.0,31.0,20,22.25,8.291666666666666
2023-01-30,72793894274,30.413750000000004,22.0,27,0,BR:1 ||,0.015,5.75,75.0,30.4275,CLR:00,30.070833333333336,10.0,30.0,0,28.142857142857142,1.5
2023-01-31,72793894274,30.235833333333336,28.0,34,0,BR:1 ||,0.0225,6.625,65.0,30.247083333333336,CLR:00,29.89583333333333,10.0,34.0,0,28.142857142857142,1.0
2023-02-01,72793894274,30.14208333333333,26.0,34,0,BR:1 ||,0.00375,4.25,70.0,30.151666666666667,CLR:00,29.80208333333333,10.0,31.0,0,28.142857142857142,0.8333333333333334
2023-02-02,72793894274,30.114827586206896,29.0,31,0,BR:1 ||,0.01375,4.75,85.0,30.11958333333333,CLR:00,29.774827586206893,10.0,31.0,0,28.142857142857142,1.827586206896552
2023-02-03,72793894274,29.92967741935483,42.0,46,0,-RA:02 |RA |RA,0.0049999999999999,4.375,86.0,29.91749999999999,CLR:00,29.58967741935484,10.0,44.0,190,28.142857142857142,10.32258064516129
2023-02-04,72793894274,29.926,42.0,45,T,-RA:02 |RA |RA,0.0375,6.5,90.0,29.937916666666663,OVC:08 42,29.586,10.0,44.0,200,22.0,4.8
2023-02-05,72793894274,29.914761904761907,40.0,44,0,-RA:02 BR:1 |RA |RA,-0.05375,3.25,89.0,29.89958333333333,OVC:08 14,29.574761904761917,10.0,42.0,210,17.0,5.809523809523809
2023-02-06,72793894274,30.35617647058823,39.0,43,0,-RA:02 |RA |RA,-0.00625,4.875,89.0,30.360416666666666,BKN:07 10 BKN:07 16 OVC:08 32,30.01617647058824,10.0,41.0,190,23.09090909090909,12.558823529411764
2023-02-07,72793894274,30.192499999999995,36.0,46,0,-RA:02 |RA |RA,0.00125,5.0,83.0,30.195833333333336,BKN:07 7 BKN:07 18 OVC:08 38,29.852500000000003,10.0,45.0,220,25.23333333333333,13.02777777777778
2023-02-08,72793894274,30.45176470588235,36.0,39,0,-RA:02 |RA |RA,-0.01375,3.875,86.0,30.459166666666672,CLR:00,30.10794117647059,10.0,38.0,0,22.0,5.117647058823529
2023-02-09,72793894274,30.17875,36.0,43,0,-RA:02 |RA |RA,0.0487499999999999,6.625,74.0,30.183333333333337,CLR:00,29.83875,10.0,39.0,0,28.666666666666668,3.2916666666666665
2023-02-10,72793894274,30.18527777777778,42.0,46,0,FG:2 |FG |,-0.02375,4.0,86.0,30.200416666666666,CLR:00,29.84527777777778,10.0,44.0,190,29.0,6.666666666666667
2023-02-11,72793894274,30.294,36.0,44,0,FG:2 |FG |,-0.00375,3.5,76.0,30.3,CLR:00,29.954000000000004,10.0,41.0,0,29.0,3.96
2023-02-12,72793894274,30.1796,32.0,37,0,FG:2 |FG |,0.04,6.25,93.0,30.16125000000001,VV:09 2,29.8396,10.0,43.0,0,29.0,5.18
2023-02-13,72793894274,29.86333333333334,37.0,44,0,-SN:03 BR:1 |SN |,0.00625,4.5,89.0,29.85875,BKN:07 16,29.52333333333333,10.0,40.0,VRB,21.818181818181817,8.41025641025641
2023-02-14,72793894274,30.10181818181818,28.0,34,0,BR:1 ||,-0.0525,2.875,89.0,30.15625,CLR:00,29.76181818181818,10.0,32.0,0,18.0,3.575757575757576
2023-02-15,72793894274,30.342916666666667,27.0,31,0,-RA:02 BR:1 |RA |RA,0.005,3.375,85.0,30.35458333333333,CLR:00,30.002916666666664,10.0,30.0,0,18.0,2.0
2023-02-16,72793894274,30.18541666666667,32.0,35,0,-RA:02 BR:1 |RA |RA,0.01,4.75,89.0,30.193750000000005,CLR:00,29.845416666666665,10.0,39.0,0,18.0,3.0416666666666665
2023-02-17,72793894274,30.23096774193549,37.0,42,0,-RA:02 BR:1 |RA |RA,-0.0025,6.125,71.0,30.231666666666676,CLR:00,29.890967741935484,10.0,39.0,210,18.0,6.451612903225806
2023-02-18,72793894274,30.14219512195122,37.0,42,0,-RA:02 BR:1 |RA |RA,-0.00125,5.25,82.0,30.15291666666667,SCT:04 10 OVC:08 18,29.802195121951225,10.0,40.0,200,23.8,8.536585365853659
2023-02-19,72793894274,30.2303125,40.0,43,0,-RA:02 BR:1 |RA |RA,0.0025,4.125,83.0,30.230833333333333,OVC:08 18,29.8903125,10.0,42.0,210,21.125,8.4375
2023-02-20,72793894274,30.043529411764705,42.0,47,0,-RA:02 BR:1 |RA |RA,0.06125,7.0,83.0,30.045,OVC:08 14,29.703529411764706,10.0,45.0,210,27.939393939393938,14.970588235294118
2023-02-21,72793894274,29.582439024390247,34.0,39,0,-RA:02 |RA |RA,0.025,6.5,79.0,29.57166666666667,BKN:07 19,29.243414634146347,10.0,37.0,230,27.28,11.097560975609756
2023-02-22,72793894274,29.551162790697663,27.0,37,0,-SN:03 BR:1 |SN |,-0.01375,3.0,89.0,29.562500000000004,OVC:08 16,29.214186046511628,10.0,33.0,20,25.875,8.523809523809524
2023-02-23,72793894274,29.7271875,7.0,28,0,-SN:03 |SN |,-0.045,2.5,41.0,29.77916666666667,CLR:00,29.3871875,10.0,26.0,VRB,20.63157894736842,8.806451612903226
2023-02-24,72793894274,30.090833333333336,11.0,28,0,-SN:03 BR:1 |SN |,-0.0199999999999999,3.25,41.0,30.105833333333333,CLR:00,29.750833333333333,10.0,22.0,30,18.714285714285715,7.416666666666667
2023-02-25,72793894274,29.813448275862065,26.0,34,0,-SN:03 BR:1 |SN |,0.06375,6.375,47.0,29.87541666666667,CLR:00,29.47344827586207,10.0,34.0,0,23.5,5.448275862068965
2023-02-26,72793894274,29.58488888888889,32.0,36,0,-SN:03 BR:1 |SN |,-0.015,3.375,89.0,29.612916666666667,CLR:00,29.246888888888897,10.0,35.0,210,24.846153846153847,10.866666666666667
2023-02-27,72793894274,29.48103448275862,30.0,35,0,-RA:02 |RA |RA,0.045,6.625,73.0,29.50375,BKN:07 28 OVC:08 37,29.14586206896551,10.0,33.0,0,23.68421052631579,4.275862068965517
2023-02-28,72793894274,29.53410256410256,34.0,36,0,-RA:02 |RA |RA,-0.05,2.75,89.0,29.58791666666667,CLR:00,29.196410256410257,10.0,36.0,200,23.68421052631579,10.512820512820513
2023-03-01,72793894274,30.03847826086956,32.0,32,0.00,BR:1 ||,-0.03625,2.75,89.0,30.06208333333333,CLR:00,29.698478260869567,10.0,37.0,000,22.444444444444443,5.739130434782608
2023-03-02,72793894274,29.96636363636364,34.0,38,0.00,-RA:02 |RA |RA,0.0049999999999999,3.75,86.0,29.965,CLR:00,29.62636363636364,10.0,37.0,190,27.8125,15.606060606060606
2023-03-03,72793894274,29.91347826086957,33.0,37,T,-RA:02 |RA |RA,0.0375,6.375,89.0,29.91541666666667,OVC:08 10,29.57347826086956,10.0,35.0,210,23.75,10.444444444444445
2023-03-04,72793894274,29.537586206896552,34.0,38,0.00,-RA:02 |RA |RA,0.0124999999999999,5.25,86.0,29.535416666666663,CLR:00,29.200344827586203,10.0,36.0,000,20.4,5.607142857142857
2023-03-05,72793894274,29.757857142857144,34.0,39,0.00,-RA:02 |RA |RA,-0.035,1.75,89.0,29.75583333333333,CLR:00,29.41785714285714,10.0,38.0,000,21.5,2.2142857142857144
2023-03-06,72793894274,29.977222222222217,32.0,36,0.00,BR:1 ||,-0.0175,1.875,89.0,29.9925,CLR:00,29.63722222222223,10.0,38.0,000,21.5,3.2777777777777777
2023-03-07,72793894274,30.0203125,34.0,37,0.00,-RA:02 |RA |RA,0.00875,5.75,89.0,30.021666666666665,CLR:00,29.6803125,10.0,36.0,000,26.0,2.9375
2023-03-08,72793894274,29.951538461538465,34.0,37,0.00,BR:1 ||,-0.00125,3.5,89.0,29.964583333333337,CLR:00,29.61153846153847,10.0,36.0,000,26.0,2.8205128205128207
2023-03-09,72793894274,29.765357142857148,34.0,37,0.00,-RA:02 |RA |RA,0.075,7.5,79.0,29.74791666666667,OVC:08 50,29.42642857142857,10.0,39.0,000,26.0,4.642857142857143
2023-03-10,72793894274,29.54317073170732,38.0,41,0.00,-RA:02 |RA |RA,-0.04625,2.25,89.0,29.539166666666663,OVC:08 9,29.206341463414635,10.0,39.0,000,20.11111111111111,6.024390243902439
2023-03-11,72793894274,29.914615384615384,37.0,41,0.00,-RA:02 |RA |RA,-0.0225,2.875,86.0,29.923333333333336,CLR:00,29.574615384615388,10.0,38.0,000,19.0,5.269230769230769
2023-03-12,72793894274,29.78469387755102,30.0,43,0.00,-RA:02 BR:1 |RA |RA,0.02875,7.625,89.0,29.78125,CLR:00,29.44469387755102,10.0,42.0,000,20.4375,1.7346938775510203
2023-03-13,72793894274,29.7176,39.0,42,0.00,-RA:02 |RA |RA,-0.02375,3.125,89.0,29.737916666666663,CLR:00,29.3776,10.0,41.0,200,20.4375,8.86
2023-03-14,72793894274,29.82321428571429,34.0,39,0.00,-RA:02 |RA |RA,0.0125,5.75,86.0,29.814166666666665,CLR:00,29.483214285714286,10.0,36.0,000,21.0,4.321428571428571
2023-03-15,72793894274,30.088529411764704,34.0,41,0.00,-RA:02 |RA |RA,-0.06,1.875,79.0,30.16,CLR:00,29.74852941176471,10.0,39.0,200,20.0,6.970588235294118
2023-03-16,72793894274,30.20833333333333,33.0,39,0.00,-RA:02 |RA |RA,0.01875,5.875,79.0,30.21291666666667,CLR:00,29.868333333333336,10.0,37.0,020,20.6,9.083333333333334
2023-03-17,72793894274,30.121250000000003,30.0,60,0.00,-RA:02 |RA |RA,0.0037499999999999,4.625,32.0,30.126666666666665,CLR:00,29.78125,10.0,43.0,000,21.33333333333333,2.4166666666666665
2023-03-18,72793894274,30.002916666666664,30.0,50,0.00,-RA:02 |RA |RA,0.025,6.875,29.0,30.004583333333333,CLR:00,29.66291666666667,10.0,44.0,000,21.33333333333333,1.0833333333333333
2023-03-19,72793894274,29.725,39.0,47,0.00,-RA:02 |RA |RA,0.035,5.625,66.0,29.724166666666665,CLR:00,29.385,10.0,46.0,000,21.33333333333333,3.333333333333333
2023-03-20,72793894274,29.719183673469388,44.0,46,0.00,-RA:02 BR:1 |RA |RA,-0.02125,2.75,93.0,29.72708333333333,BKN:07 10 BKN:07 27 OVC:08 33,29.379183673469385,10.0,45.0,220,21.33333333333333,5.489795918367347
2023-03-21,72793894274,29.807419354838707,41.0,42,0.00,-RA:02 |RA |RA,0.01,4.875,89.0,29.800833333333333,CLR:00,29.467419354838707,10.0,41.0,000,17.0,6.516129032258065
2023-03-22,72793894274,29.818928571428565,41.0,47,0.00,-RA:02 |RA |RA,-0.01875,3.375,89.0,29.814166666666665,CLR:00,29.478928571428565,10.0,43.0,000,18.33333333333333,5.142857142857143
2023-03-23,72793894274,29.969024390243906,39.0,44,0.00,-RA:02 |RA |RA,-0.02,3.125,83.0,29.96375,SCT:04 33 OVC:08 65,29.629024390243902,10.0,42.0,210,23.681818181818183,11.097560975609756
2023-03-24,72793894274,30.140238095238093,34.0,37,0.00,-RA:02 |RA |RA,-0.01875,3.375,86.0,30.15833333333333,BKN:07 24 BKN:07 29 BKN:07 36,29.800238095238097,10.0,36.0,210,24.032258064516128,11.738095238095235
2023-03-25,72793894274,30.25609756097561,32.0,36,0.00,BR:1 ||,-0.00125,3.5,86.0,30.264166666666664,CLR:00,29.916097560975608,10.0,34.0,210,18.0,7.268292682926829
2023-03-26,72793894274,30.29290322580645,34.0,37,0.00,BR:1 ||,-0.0075,3.375,86.0,30.302916666666665,CLR:00,29.95290322580646,10.0,35.0,190,18.0,6.066666666666666
2023-03-27,72793894274,30.155172413793107,32.0,36,0.00,BR:1 ||,0.04625,6.25,89.0,30.141250000000003,CLR:00,29.815172413793107,10.0,34.0,000,19.0,6.517241379310345
2023-03-28,72793894274,29.794166666666666,22.0,50,0.00,-RA:02 |RA |RA,0.015,5.25,29.0,29.795,CLR:00,29.454166666666666,10.0,43.0,050,27.07692307692308,9.416666666666666
2023-03-29,72793894274,29.804166666666664,30.0,49,0.00,-RA:02 |RA |RA,0.00125,4.75,48.0,29.804166666666664,CLR:00,29.464166666666667,10.0,42.0,010,22.5,6.541666666666667
2023-03-30,72793894274,29.85741935483871,35.0,45,0.00,-RA:02 |RA |RA,-0.01625,3.625,68.0,29.86041666666668,OVC:08 14,29.517419354838715,10.0,41.0,220,22.5,8.225806451612904
2023-03-31,72793894274,29.89378378378377,37.0,42,T,-RA:02 |RA |RA,0.0175,4.875,89.0,29.90458333333333,BKN:07 20 BKN:07 42 OVC:08 55,29.553783783783786,10.0,43.0,190,26.33333333333333,11.72972972972973
2023-04-01,72793894274,29.907804878048783,35.0,39,T,-RA:02 |RA |RA,-0.02,1.5,86.0,29.929166666666664,CLR:00,29.56780487804878,10.0,37.0,200,23.23809523809524,10.78048780487805
2023-04-02,72793894274,29.914814814814815,34.0,37,T,-RA:02 |RA |RA,0.00125,4.75,89.0,29.918750000000006,OVC:08 8,29.57481481481481,10.0,36.0,190,21.11111111111111,8.666666666666666
2023-04-03,72793894274,30.03775,34.0,36,0.00,-RA:02 |RA |RA,-0.0125,4.25,93.0,30.058333333333334,OVC:08 4,29.69775,10.0,35.0,000,19.0,3.45
2023-04-04,72793894274,30.138529411764708,33.0,38,0.00,-RA:02 |RA |RA,-0.015,2.625,83.0,30.15166666666667,CLR:00,29.798529411764708,10.0,36.0,200,19.4,5.352941176470588
2023-04-05,72793894274,30.133333333333336,35.0,39,0.00,-RA:02 |RA |RA,0.01875,6.75,86.0,30.137916666666666,SCT:04 30,29.793333333333333,10.0,43.0,220,19.4,4.583333333333333
2023-04-06,72793894274,29.844583333333333,41.0,44,0.02,-RA:02 |RA |RA,0.03625,6.125,89.0,29.847916666666663,BKN:07 55 OVC:08 70,29.504583333333333,10.0,43.0,000,19.4,2.083333333333333
2023-04-07,72793894274,29.839333333333343,47.0,50,0.00,-RA:02 |RA |RA,-0.01875,1.5,89.0,29.84833333333334,CLR:00,29.499333333333336,10.0,48.0,200,19.4,7.866666666666666
2023-04-08,72793894274,29.990416666666665,41.0,50,0.00,-RA:02 |RA |RA,-0.01125,1.875,69.0,29.99416666666667,OVC:08 38,29.65041666666667,10.0,46.0,190,17.5,5.695652173913044
2023-04-09,72793894274,30.03888888888889,50.0,52,T,-RA:02 |RA |RA,-0.0137499999999999,3.875,89.0,30.04375,OVC:08 33,29.698888888888884,10.0,51.0,210,25.0,7.944444444444445
2023-04-10,72793894274,30.035740740740746,42.0,45,0.01,-RA:02 |RA |RA,0.025,6.5,89.0,30.04416666666667,BKN:07 10 OVC:08 37,29.69574074074073,10.0,44.0,000,24.071428571428573,3.611111111111111
2023-04-11,72793894274,30.021333333333327,37.0,41,0.00,-RA:02 |RA |RA,-0.0125,3.625,89.0,30.027083333333323,BKN:07 12 OVC:08 23,29.68133333333334,10.0,39.0,190,24.071428571428573,9.433333333333334
2023-04-12,72793894274,30.0541935483871,34.0,40,0.00,BR:1 ||,-0.0062499999999999,5.25,79.0,30.06541666666668,CLR:00,29.714193548387097,10.0,38.0,280,17.0,5.193548387096774
2023-04-13,72793894274,30.03322580645161,36.0,41,0.00,BR:1 ||,0.01125,6.5,86.0,30.03125,BKN:07 19 BKN:07 44,29.693225806451604,10.0,39.0,210,18.0,7.32258064516129
2023-04-14,72793894274,30.02846153846153,34.0,36,0.00,BR:1 ||,-0.0062499999999999,4.0,89.0,30.03541666666666,CLR:00,29.688461538461542,10.0,35.0,000,23.75,1.5897435897435896
2023-04-15,72793894274,30.09,42.0,48,0.00,-RA:02 |RA |RA,-0.0012499999999999,4.0,83.0,30.094166666666663,CLR:00,29.750000000000004,10.0,45.0,000,23.75,3.071428571428572
2023-04-16,72793894274,29.94567567567568,43.0,46,0.00,-RA:02 |RA |RA,0.005,3.875,93.0,29.95625,CLR:00,29.60567567567568,10.0,45.0,000,23.75,7.513513513513513
2023-04-17,72793894274,29.74035714285714,31.0,41,0.00,-RA:02 |RA |RA,0.045,6.0,86.0,29.75541666666666,CLR:00,29.400357142857143,10.0,39.0,000,24.33333333333333,5.851851851851852
2023-04-18,72793894274,29.84513513513513,36.0,43,T,-RA:02 |RA |RA,-0.035,3.0,76.0,29.86875000000001,SCT:04 14 OVC:08 21,29.50513513513513,10.0,38.0,190,26.96,13.16216216216216
2023-04-19,72793894274,30.117,35.0,41,0.00,-RA:02 |RA |RA,-0.0424999999999999,2.375,76.0,30.152083333333334,CLR:00,29.777,10.0,39.0,190,20.83333333333333,8.966666666666667
2023-04-20,72793894274,30.24323529411765,40.0,44,0.00,-RA:02 |RA |RA,0.0125,4.375,86.0,30.27125,CLR:00,29.903235294117646,10.0,42.0,200,21.0,6.411764705882353
2023-04-21,72793894274,30.347142857142853,39.0,44,0.00,-RA:02 BR:1 |RA |RA,-0.0175,3.5,83.0,30.365416666666672,BKN:07 20 BKN:07 48,30.007142857142856,10.0,42.0,000,18.75,6.857142857142857
2023-04-22,72793894274,30.06073170731708,51.0,52,0.00,-RA:02 BR:1 |RA |RA,0.0525,6.875,97.0,30.1125,OVC:08 29,29.72073170731707,10.0,51.0,000,20.76923076923077,1.7804878048780488
2023-04-23,72793894274,29.875272727272733,43.0,46,0.01,-RA:02 |RA |RA,-0.00375,2.5,93.0,29.890416666666656,OVC:08 3,29.53527272727272,10.0,45.0,210,20.76923076923077,7.254545454545455
2023-04-24,72793894274,30.085277777777776,42.0,45,0.00,-RA:02 |RA |RA,-0.04375,2.5,90.0,30.13041666666666,SCT:04 18 SCT:04 38 BKN:07 46,29.745277777777776,10.0,44.0,200,18.0,7.5
2023-04-25,72793894274,30.264117647058825,41.0,43,0.00,-RA:02 |RA |RA,0.0049999999999999,4.25,85.0,30.258333333333336,CLR:00,29.92411764705882,10.0,42.0,000,27.5,3.852941176470588
2023-04-26,72793894274,30.177916666666665,43.0,44,0.00,-RA:02 |RA |RA,0.0075,5.0,77.0,30.17833333333333,CLR:00,29.83791666666667,10.0,50.0,000,27.5,4.541666666666667
2023-04-27,72793894274,30.186666666666667,45.0,50,0.00,-RA:02 |RA |RA,0.0075,4.875,83.0,30.18583333333333,CLR:00,29.846666666666668,10.0,51.0,020,18.33333333333333,9.208333333333334
2023-04-28,72793894274,29.9725,44.0,59,0.00,-RA:02 |RA |RA,0.02625,6.0,69.0,29.967916666666667,CLR:00,29.632500000000004,10.0,53.0,020,17.0,6.875
2023-04-29,72793894274,29.95208333333333,47.0,53,0.00,-RA:02 |RA |RA,-0.0025,3.5,35.0,29.945,CLR:00,29.61208333333333,10.0,53.0,VRB,17.0,6.041666666666667
2023-04-30,72793894274,29.93117647058823,45.0,48,0.00,-RA:02 |RA |RA,-0.00125,4.25,83.0,29.92458333333333,CLR:00,29.59117647058824,10.0,47.0,210,18.0,6.352941176470588
2023-05-01,72793894274,29.863333333333333,44.0,50,0.00,-RA:02 |RA |RA,0.00875,5.75,77.0,29.8625,OVC:08 55,29.52333333333333,10.0,49.0,000,18.0,2.375
2023-05-02,72793894274,29.789259259259257,46.0,51,0.00,VCTS:7 ||,-0.0049999999999999,4.875,83.0,29.78833333333333,CLR:00,29.44925925925926,10.0,48.0,000,18.0,4.25925925925926
2023-05-03,72793894274,29.79612903225806,46.0,52,0.00,VCTS:7 ||,0.0062499999999999,5.375,83.0,29.795,CLR:00,29.45612903225807,10.0,48.0,270,17.0,6.064516129032258
2023-05-04,72793894274,29.796078431372543,46.0,49,0.00,BR:1 ||,0.00375,3.5,90.0,29.794166666666666,BKN:07 8 BKN:07 13 OVC:08 37,29.45607843137255,10.0,48.0,200,17.0,6.705882352941177
2023-05-05,72793894274,29.88717948717949,46.0,48,T,-RA:02 |RA |RA,-0.02125,2.5,89.0,29.896666666666675,OVC:08 14,29.5471794871795,10.0,47.0,200,17.0,7.0
2023-05-06,72793894274,29.97714285714286,44.0,47,0.00,-RA:02 |RA |RA,-0.00375,4.25,93.0,29.97875,BKN:07 13 OVC:08 75,29.63714285714285,10.0,46.0,190,17.0,4.114285714285714
2023-05-07,72793894274,30.044230769230765,45.0,49,0.00,-RA:02 |RA |RA,-0.0012499999999999,4.25,80.0,30.04208333333333,CLR:00,29.70423076923077,10.0,48.0,000,17.0,3.730769230769231
2023-05-08,72793894274,29.99333333333333,46.0,50,0.00,-RA:02 |RA |RA,-0.00125,4.75,83.0,29.991666666666664,CLR:00,29.653333333333336,10.0,48.0,000,17.0,4.458333333333333
2023-05-09,72793894274,30.10357142857143,44.0,48,0.00,-RA:02 |RA |RA,-0.005,3.5,86.0,30.097916666666677,CLR:00,29.763571428571424,10.0,46.0,030,17.0,6.607142857142857
2023-05-10,72793894274,30.05708333333333,42.0,50,0.00,-RA:02 |RA |RA,0.0,4.125,56.0,30.052916666666665,CLR:00,29.71708333333333,10.0,46.0,020,17.0,5.291666666666667
2023-05-11,72793894274,30.124583333333334,42.0,50.0,0.00,-RA:02 |RA |RA,-0.00375,3.25,34.0,30.121250000000003,CLR:00,29.78458333333333,10.0,52.0,000,17.0,4.5
2023-05-12,72793894274,30.187083333333334,45.0,54.0,0.00,-RA:02 |RA |RA,-0.01125,3.5,39.0,30.179583333333337,CLR:00,29.84708333333333,10.0,61.0,050,17.0,5.434782608695652
2023-05-13,72793894274,30.17833333333333,45.0,59.0,0.00,-RA:02 |RA |RA,0.0112499999999999,4.125,28.0,30.1675,CLR:00,29.83833333333333,10.0,54.0,020,23.666666666666668,10.833333333333334
